발행일,카테고리,문서유형,제목,원문링크
2025-02-10,일반 정책,Presidential Action,Pausing Foreign Corrupt Practices Act Enforcement to Further American Economic and National Security,https://www.whitehouse.gov/presidential-actions/2025/02/pausing-foreign-corrupt-practices-act-enforcement-to-further-american-economic-and-national-security/
2025-02-10,일반 정책,Presidential Action,ELIMINATING THE FEDERAL EXECUTIVE INSTITUTE,https://www.whitehouse.gov/presidential-actions/2025/02/eliminating-the-federal-executive-institute/
2025-02-09,일반 정책,Presidential Action,"Gulf of America Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/02/gulf-of-america-day-2025/
2025-02-07,일반 정책,Presidential Action,Establishment of The White House Faith Office,https://www.whitehouse.gov/presidential-actions/2025/02/establishment-of-the-white-house-faith-office/
2025-02-07,일반 정책,Presidential Action,Protecting Second Amendment Rights,https://www.whitehouse.gov/presidential-actions/2025/02/protecting-second-amendment-rights/
2025-02-07,일반 정책,Presidential Action,President Trump Announces Appointments to the White House Faith Office,https://www.whitehouse.gov/presidential-actions/2025/02/president-trump-announces-appointments-to-the-white-house-faith-office/
2025-02-06,일반 정책,Presidential Action,IMPOSING SANCTIONS ON THE INTERNATIONAL CRIMINAL COURT,https://www.whitehouse.gov/presidential-actions/2025/02/imposing-sanctions-on-the-international-criminal-court/
2025-02-06,일반 정책,Presidential Action,Eradicating Anti-Christian Bias,https://www.whitehouse.gov/presidential-actions/2025/02/eradicating-anti-christian-bias/
2025-02-03,일반 정책,Presidential Action,Progress on the Situation At Our Southern Border,https://www.whitehouse.gov/presidential-actions/2025/02/progress-on-the-situation-at-our-southern-border/
2025-01-27,일반 정책,Presidential Action,The Iron Dome for America,https://www.whitehouse.gov/presidential-actions/2025/01/the-iron-dome-for-america/
2025-01-24,일반 정책,Presidential Action,Emergency Measures to Provide Water Resources in California and Improve Disaster Response in Certain Areas,https://www.whitehouse.gov/presidential-actions/2025/01/emergency-measures-to-provide-water-resources-in-california-and-improve-disaster-response-in-certain-areas/
2025-01-23,일반 정책,Presidential Action,"Declassification of Records Concerning the Assassinations of President John F. Kennedy, Senator Robert F. Kennedy, and the Reverend Dr. Martin Luther King, Jr.",https://www.whitehouse.gov/presidential-actions/2025/01/declassification-of-records-concerning-the-assassinations-of-president-john-f-kennedy/
2025-01-23,일반 정책,Presidential Action,STRENGTHENING AMERICAN LEADERSHIP IN DIGITAL FINANCIAL TECHNOLOGY,https://www.whitehouse.gov/presidential-actions/2025/01/strengthening-american-leadership-in-digital-financial-technology/
2025-01-22,일반 정책,Presidential Action,Executive Grant of Clemency for Andrew Zabavsky,https://www.whitehouse.gov/presidential-actions/2025/01/executive-grant-of-clemency-for-andrew-zabavsky/
2025-01-21,일반 정책,Presidential Action,ENDING ILLEGAL DISCRIMINATION AND RESTORING MERIT-BASED OPPORTUNITY,https://www.whitehouse.gov/presidential-actions/2025/01/ending-illegal-discrimination-and-restoring-merit-based-opportunity/
2025-01-20,일반 정책,Presidential Action,WITHDRAWING THE UNITED STATES FROM THE WORLD HEALTH ORGANIZATION,https://www.whitehouse.gov/presidential-actions/2025/01/withdrawing-the-united-states-from-the-worldhealth-organization/
2025-01-20,일반 정책,Presidential Action,Protecting The United States From Foreign Terrorists And Other National Security And Public Safety Threats,https://www.whitehouse.gov/presidential-actions/2025/01/protecting-the-united-states-from-foreign-terrorists-and-othernational-security-and-public-safety-threats/
2025-01-20,일반 정책,Presidential Action,Unleashing American Energy,https://www.whitehouse.gov/presidential-actions/2025/01/unleashing-american-energy/
2025-01-20,일반 정책,Presidential Action,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,https://www.whitehouse.gov/presidential-actions/2025/01/protecting-the-american-people-against-invasion/
2025-01-20,일반 정책,Presidential Action,Application Of Protecting Americans From Foreign Adversary Controlled Applications Act To TikTok,https://www.whitehouse.gov/presidential-actions/2025/01/application-of-protecting-americans-from-foreign-adversary-controlled-applications-act-to-tiktok/
2025-01-20,일반 정책,Presidential Action,Ending Radical And Wasteful Government DEI Programs And Preferencing,https://www.whitehouse.gov/presidential-actions/2025/01/ending-radical-and-wasteful-government-dei-programs-and-preferencing/
2025-01-20,일반 정책,Presidential Action,CLARIFYING THE MILITARY’S ROLE IN PROTECTING THE TERRITORIAL INTEGRITY OF THE UNITED STATES,https://www.whitehouse.gov/presidential-actions/2025/01/clarifying-the-militarys-role-in-protecting-the-territorial-integrity-of-the-united-states/
2025-01-20,일반 정책,Presidential Action,RESTORING ACCOUNTABILITY FOR CAREER SENIOR EXECUTIVES,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-accountability-for-career-senior-executives/
2025-01-20,일반 정책,Presidential Action,PUTTING AMERICA FIRST IN INTERNATIONAL ENVIRONMENTAL AGREEMENTS,https://www.whitehouse.gov/presidential-actions/2025/01/putting-america-first-in-international-environmental-agreements/
2025-01-20,일반 정책,Presidential Action,Return to In-Person Work,https://www.whitehouse.gov/presidential-actions/2025/01/return-to-in-person-work/
2025-01-20,일반 정책,Presidential Action,REFORMING THE FEDERAL HIRING PROCESS AND RESTORING MERIT TO GOVERNMENT SERVICE,https://www.whitehouse.gov/presidential-actions/2025/01/reforming-the-federal-hiring-process-and-restoring-merit-to-government-service/
2025-01-20,일반 정책,Presidential Action,REALIGNING THE United States REFUGEE ADMISSIONS PROGRAM,https://www.whitehouse.gov/presidential-actions/2025/01/realigning-the-united-states-refugee-admissions-program/
2025-01-20,일반 정책,Presidential Action,AMERICA FIRST POLICY DIRECTIVE TO THE SECRETARY OF STATE,https://www.whitehouse.gov/presidential-actions/2025/01/america-first-policy-directive-to-the-secretary-of-state/
2025-01-20,일반 정책,Presidential Action,Hiring Freeze,https://www.whitehouse.gov/presidential-actions/2025/01/hiring-freeze/
